age,season,transfer_no,apearance,goal,assist,yellow,yellow2,red,foot,height,position,mv
24,19,5,20,0,0,5,1,0,right,193,Defender - Centre-Back,360000
23,19,4,20,0,0,5,1,0,right,193,Defender - Centre-Back,405000
23,18,3,19,2,0,5,0,0,right,193,Defender - Centre-Back,405000
22,18,2,19,2,0,5,0,0,right,193,Defender - Centre-Back,135000
20,16,1,10,3,0,3,0,0,right,193,Defender - Centre-Back,405000
30,20,13,10,2,1,0,0,0,left,176,Midfielder - Left Midfield,270000
29,19,12,28,4,4,3,0,0,left,176,Midfielder - Left Midfield,383000
28,18,11,3,1,0,2,0,0,left,176,Midfielder - Left Midfield,383000
27,17,10,4,0,0,0,0,0,left,176,Midfielder - Left Midfield,383000
25,15,9,23,1,5,1,0,0,left,176,Midfielder - Left Midfield,338000
25,14,8,12,4,2,5,0,0,left,176,Midfielder - Left Midfield,338000
24,14,7,12,4,2,5,0,0,left,176,Midfielder - Left Midfield,338000
24,13,6,14,0,0,1,0,1,left,176,Midfielder - Left Midfield,338000
23,13,5,14,0,0,1,0,1,left,176,Midfielder - Left Midfield,338000
23,12,4,27,4,2,4,0,0,left,176,Midfielder - Left Midfield,338000
22,12,3,27,4,2,4,0,0,left,176,Midfielder - Left Midfield,338000
31,19,6,16,1,1,0,0,0,right,196,Defender - Centre-Back,1800000
30,18,5,36,2,0,6,0,0,right,196,Defender - Centre-Back,2070000
28,16,4,41,0,1,7,0,0,right,196,Defender - Centre-Back,900000
24,12,3,25,3,0,3,0,0,right,196,Defender - Centre-Back,360000
21,9,2,34,1,1,5,0,0,right,196,Defender - Centre-Back,360000
30,20,7,10,0,0,4,0,0,right,182,Defender - Centre-Back,5850000
29,19,6,24,1,0,6,0,1,right,182,Defender - Centre-Back,7200000
26,16,5,34,1,1,11,0,0,right,182,Defender - Centre-Back,3600000
24,14,4,42,1,0,17,0,0,right,182,Defender - Centre-Back,2250000
22,12,3,37,1,0,14,0,2,right,182,Defender - Centre-Back,1800000
21,11,2,35,1,0,15,0,0,right,182,Defender - Centre-Back,1800000
19,9,1,23,0,0,8,0,0,right,182,Defender - Centre-Back,1800000
33,18,11,15,8,1,2,0,0,right,186,Forward - Centre-Forward,720000
32,17,10,1,0,0,0,0,0,right,186,Forward - Centre-Forward,720000
31,16,9,35,8,0,2,0,0,right,186,Forward - Centre-Forward,1130000
31,15,8,24,11,4,2,0,0,right,186,Forward - Centre-Forward,1130000
30,15,7,24,11,4,2,0,0,right,186,Forward - Centre-Forward,900000
29,14,6,22,8,1,1,0,0,right,186,Forward - Centre-Forward,472500
28,13,5,20,4,4,1,1,0,right,186,Forward - Centre-Forward,540000
27,12,4,2,0,0,0,0,0,right,186,Forward - Centre-Forward,720000
26,11,3,31,4,0,1,1,0,right,186,Forward - Centre-Forward,360000
25,10,2,35,9,2,3,0,0,right,186,Forward - Centre-Forward,405000
19,19,1,4,1,0,1,0,0,right,168,Midfielder - Right Midfield,270000
25,20,5,12,3,2,4,0,0,left,182,Forward - Centre-Forward,270000
25,19,4,19,4,0,3,1,0,left,182,Forward - Centre-Forward,270000
23,18,3,24,8,1,6,0,1,left,182,Forward - Centre-Forward,158000
22,17,2,8,1,0,0,0,0,left,182,Forward - Centre-Forward,158000
21,16,1,0,0,0,0,0,0,left,182,Forward - Centre-Forward,158000
28,19,5,16,2,0,1,0,0,right,185,Defender - Right-Back,360000
26,18,4,17,0,0,3,0,0,right,185,Defender - Right-Back,810000
26,17,3,1,0,0,0,0,0,right,185,Defender - Right-Back,810000
25,17,2,1,0,0,0,0,0,right,185,Defender - Right-Back,900000
16,17,1,11,3,1,0,0,0,right,182,Forward - Centre-Forward,810000
27,20,7,9,2,4,0,0,0,right,182,Midfielder - Central Midfield,855000
26,19,6,48,12,2,6,2,0,right,182,Midfielder - Central Midfield,585000
25,18,5,50,6,0,8,0,0,right,182,Midfielder - Central Midfield,90000
24,17,4,44,4,0,10,0,0,right,182,Midfielder - Central Midfield,90000
22,15,3,14,2,0,4,0,0,right,182,Midfielder - Central Midfield,45000
21,14,2,4,0,0,0,0,0,right,182,Midfielder - Central Midfield,45000
18,11,1,2,0,0,0,0,0,right,182,Midfielder - Central Midfield,45000
19,19,1,29,3,3,7,0,0,left,178,Midfielder - Central Midfield,45000
28,20,7,11,2,0,2,0,0,right,173,Forward - Right Winger,90000
27,19,6,1,0,0,0,0,0,right,173,Forward - Right Winger,90000
22,14,3,11,2,2,3,0,0,right,173,Forward - Right Winger,180000
19,18,1,11,2,0,0,0,1,right,177,Midfielder - Right Midfield,45000
21,19,2,8,0,0,4,0,0,right,183,Midfielder,45000
20,19,1,8,0,0,4,0,0,right,183,Midfielder,45000
19,20,1,6,0,0,0,0,0,right,183,Midfielder - Defensive Midfield,45000
18,17,1,86,0,0,8,0,0,right,170,Midfielder - Defensive Midfield,45000
34,20,9,11,2,0,1,0,0,left,179,Midfielder - Attacking Midfield,270000
33,19,8,26,5,4,2,0,0,left,179,Midfielder - Attacking Midfield,360000
32,18,7,7,2,1,1,0,0,left,179,Midfielder - Attacking Midfield,630000
31,17,6,12,0,0,2,0,0,left,179,Midfielder - Attacking Midfield,900000
29,15,5,34,11,5,2,0,0,left,179,Midfielder - Attacking Midfield,1800000
27,13,4,41,11,7,9,0,0,left,179,Midfielder - Attacking Midfield,1800000
25,11,3,8,1,0,1,0,0,left,179,Midfielder - Attacking Midfield,2250000
20,6,2,15,1,1,2,0,0,left,179,Midfielder - Attacking Midfield,2250000
21,20,1,14,0,1,5,0,1,right,179,Defender - Right-Back,2250000
24,20,7,13,1,4,3,0,0,right,176,Forward - Second Striker,270000
23,19,6,2,1,0,0,0,0,right,176,Forward - Second Striker,270000
22,18,5,15,0,1,3,0,0,right,176,Forward - Second Striker,225000
21,17,4,30,1,1,1,0,0,right,176,Forward - Second Striker,382500
20,16,3,8,1,0,2,0,0,right,176,Forward - Second Striker,450000
19,15,2,18,4,1,2,0,0,right,176,Forward - Second Striker,480000
24,20,3,14,0,2,0,0,2,right,183,Defender - Centre-Back,9000000
20,16,2,38,2,0,6,0,0,right,183,Defender - Centre-Back,9000000
22,16,2,12,0,0,3,0,0,left,180,Defender - Left-Back,360000
19,13,1,0,0,0,0,0,0,left,180,Defender - Left-Back,360000
20,19,1,17,2,1,1,0,0,right,175,Forward - Second Striker,360000
33,20,10,13,0,1,5,0,0,right,175,Midfielder - Central Midfield,90000
32,19,9,19,0,1,5,1,0,right,175,Midfielder - Central Midfield,180000
30,17,8,32,2,1,15,2,0,right,175,Midfielder - Central Midfield,450000
29,16,7,27,0,1,9,1,0,right,175,Midfielder - Central Midfield,450000
26,13,6,0,0,0,0,0,0,right,175,Midfielder - Central Midfield,540000
25,12,5,8,0,1,4,1,0,right,175,Midfielder - Central Midfield,720000
23,10,4,23,1,3,8,0,0,right,175,Midfielder - Central Midfield,382500
22,9,3,13,0,0,2,0,0,right,175,Midfielder - Central Midfield,450000
21,8,2,12,2,0,5,0,0,right,175,Midfielder - Central Midfield,450000
20,7,1,3,0,0,1,0,0,right,175,Midfielder - Central Midfield,450000
27,19,9,31,6,2,8,0,1,right,182,Forward - Centre-Forward,360000
25,17,8,22,5,1,3,0,0,right,182,Forward - Centre-Forward,315000
24,16,7,9,0,1,0,0,0,right,182,Forward - Centre-Forward,360000
24,15,6,38,11,0,9,0,0,right,182,Forward - Centre-Forward,360000
23,15,5,38,11,0,9,0,0,right,182,Forward - Centre-Forward,360000
22,14,4,7,1,0,2,0,0,right,182,Forward - Centre-Forward,45000
18,20,1,4,0,0,1,0,0,right,180,Midfielder - Right Midfield,45000
21,20,3,5,0,0,0,0,0,left,177,Defender - Left-Back,45000
20,20,2,5,0,0,0,0,0,left,177,Defender - Left-Back,45000
19,19,1,20,0,4,0,0,0,left,177,Defender - Left-Back,45000
22,20,3,10,0,1,1,0,0,left,167,Midfielder - Central Midfield,630000
19,17,2,13,0,1,0,0,0,left,167,Midfielder - Central Midfield,630000
18,16,1,2,0,0,0,0,0,left,167,Midfielder - Central Midfield,630000
22,20,2,2,0,1,0,0,0,left,176,Defender - Left-Back,90000
19,17,1,6,0,0,1,0,0,left,176,Defender - Left-Back,630000
31,20,8,14,0,0,5,1,0,left,173,Defender - Left-Back,270000
29,18,7,15,2,1,3,2,0,left,173,Defender - Left-Back,270000
28,17,6,11,0,1,4,0,0,left,173,Defender - Left-Back,270000
27,16,5,19,0,1,5,0,0,left,173,Defender - Left-Back,315000
25,14,3,33,1,1,9,1,0,left,173,Defender - Left-Back,428000
23,12,2,23,1,1,6,0,2,left,173,Defender - Left-Back,225000
19,18,2,0,0,0,0,0,0,right,192,Defender - Centre-Back,45000
18,20,1,3,0,0,1,0,0,right,171,Midfielder - Defensive Midfield,45000
23,20,4,14,1,1,6,0,0,right,170,Defender - Right-Back,180000
22,19,3,9,0,0,3,0,0,right,170,Defender - Right-Back,450000
21,18,2,10,0,0,0,0,0,right,170,Defender - Right-Back,450000
20,19,1,8,0,1,4,0,0,left,178,Defender - Left-Back,450000
27,16,4,8,1,0,0,0,0,right,170,Defender - Right-Back,270000
25,14,3,19,1,2,6,0,0,right,170,Defender - Right-Back,405000
24,13,2,25,1,1,10,1,0,right,170,Defender - Right-Back,315000
37,19,9,23,9,1,7,1,0,right,169,Forward - Left Winger,158000
34,15,7,47,11,5,9,0,0,right,169,Forward - Left Winger,158000
33,15,6,47,11,5,9,0,0,right,169,Forward - Left Winger,540000
27,9,5,37,11,5,6,0,0,right,169,Forward - Left Winger,540000
25,7,4,2,0,0,1,0,0,right,169,Forward - Left Winger,540000
24,6,3,12,2,0,2,0,0,right,169,Forward - Left Winger,540000
23,5,2,11,0,0,1,0,1,right,169,Forward - Left Winger,540000
31,19,6,15,0,0,3,0,0,right,184,Defender - Centre-Back,158000
30,18,5,23,1,1,5,0,0,right,184,Defender - Centre-Back,158000
29,17,4,2,0,0,0,0,0,right,184,Defender - Centre-Back,158000
27,15,3,16,4,0,4,0,0,right,184,Defender - Centre-Back,158000
26,14,2,9,0,0,0,0,1,right,184,Defender - Centre-Back,135000
24,12,1,25,1,0,0,0,2,right,184,Defender - Centre-Back,68000
25,20,7,9,0,4,2,0,0,right,180,Forward - Centre-Forward,225000
24,19,6,20,3,4,2,0,0,right,180,Forward - Centre-Forward,225000
23,18,5,15,2,0,2,0,0,right,180,Forward - Centre-Forward,225000
22,17,4,11,1,2,0,0,0,right,180,Forward - Centre-Forward,236500
22,16,3,13,0,2,0,0,0,right,180,Forward - Centre-Forward,248000
21,16,2,13,0,2,0,0,0,right,180,Forward - Centre-Forward,225000
18,13,1,4,0,0,0,0,0,right,180,Forward - Centre-Forward,248000
21,19,2,14,0,0,2,0,1,right,172,Midfielder - Attacking Midfield,248000
19,17,1,14,2,0,1,1,0,right,172,Midfielder - Attacking Midfield,248000
21,20,3,11,3,0,2,0,1,right,182,Forward - Centre-Forward,158000
20,19,2,14,2,0,3,0,0,right,182,Forward - Centre-Forward,90000
19,18,1,11,2,0,0,0,0,right,182,Forward - Centre-Forward,90000
23,18,5,9,0,0,0,0,0,left,186,Forward - Centre-Forward,180000
23,17,4,24,10,3,5,0,0,left,186,Forward - Centre-Forward,225000
22,17,3,24,10,3,5,0,0,left,186,Forward - Centre-Forward,225000
21,16,2,25,5,1,0,0,0,left,186,Forward - Centre-Forward,225000
20,15,1,6,0,1,0,0,0,left,186,Forward - Centre-Forward,214000
28,17,4,24,2,0,14,0,0,left,178,Defender - Left-Back,270000
27,16,3,6,0,0,0,0,0,left,178,Defender - Left-Back,270000
26,15,2,24,3,2,4,1,0,left,178,Defender - Left-Back,270000
22,11,1,4,0,0,1,0,0,left,178,Defender - Left-Back,270000
27,20,6,9,1,0,2,0,0,left,176,Forward - Centre-Forward,225000
27,19,5,19,3,1,4,1,0,left,176,Forward - Centre-Forward,225000
26,19,4,19,3,1,4,1,0,left,176,Forward - Centre-Forward,225000
26,18,3,22,4,4,3,0,1,left,176,Forward - Centre-Forward,225000
24,17,2,31,8,5,6,0,0,left,176,Forward - Centre-Forward,124000
20,13,1,14,1,0,2,0,0,left,176,Forward - Centre-Forward,135000
28,19,6,20,1,4,2,0,1,left,169,Midfielder - Attacking Midfield,225000
27,17,5,27,4,2,3,0,1,left,169,Midfielder - Attacking Midfield,225000
26,17,4,27,4,2,3,0,1,left,169,Midfielder - Attacking Midfield,270000
25,16,3,7,0,1,0,0,0,left,169,Midfielder - Attacking Midfield,270000
24,15,2,39,7,2,3,0,0,left,169,Midfielder - Attacking Midfield,270000
21,12,1,10,1,0,0,0,0,left,169,Midfielder - Attacking Midfield,270000
31,19,8,28,0,4,0,0,2,right,175,Defender - Right-Back,450000
29,17,7,24,0,4,6,0,0,right,175,Defender - Right-Back,1260000
27,15,6,34,2,0,10,0,0,right,175,Defender - Right-Back,1130000
26,14,5,84,2,18,10,0,0,right,175,Defender - Right-Back,720000
25,13,4,60,4,14,10,0,4,right,175,Defender - Right-Back,720000
25,12,3,2,0,0,0,0,0,right,175,Defender - Right-Back,1080000
24,12,2,2,0,0,0,0,0,right,175,Defender - Right-Back,1530000
20,8,1,48,0,2,6,2,0,right,175,Defender - Right-Back,1080000
30,18,7,23,1,0,12,0,0,right,180,Defender - Centre-Back,158000
29,17,6,2,0,0,0,0,0,right,180,Defender - Centre-Back,158000
28,16,5,11,0,0,3,0,0,right,180,Defender - Centre-Back,180000
27,15,4,7,0,0,1,0,0,right,180,Defender - Centre-Back,180000
26,14,3,13,0,0,5,0,1,right,180,Defender - Centre-Back,180000
24,12,2,8,0,0,1,0,0,right,180,Defender - Centre-Back,225000
24,19,6,2,0,0,0,0,0,right,180,Forward - Left Winger,315000
23,19,5,2,0,0,0,0,0,right,180,Forward - Left Winger,675000
22,18,4,7,0,0,0,0,0,right,180,Forward - Left Winger,900000
21,17,3,19,1,2,2,0,0,right,180,Forward - Left Winger,4050000
20,16,2,13,2,0,1,0,0,right,180,Forward - Left Winger,2340000
19,15,1,13,1,4,2,0,0,right,180,Forward - Left Winger,4500000
20,19,1,12,2,0,2,0,0,right,182,Midfielder,90000
19,20,1,0,0,0,0,0,0,right,178,Midfielder,4500000
27,19,8,48,2,6,10,0,0,right,171,Forward - Left Winger,450000
24,16,7,64,4,14,14,0,0,right,171,Forward - Left Winger,315000
22,14,6,64,6,0,10,2,0,right,171,Forward - Left Winger,135000
19,11,5,20,0,0,2,0,0,right,171,Forward - Left Winger,135000
39,19,11,19,1,0,1,1,0,left,177,Midfielder - Attacking Midfield,1620000
36,16,10,33,1,1,4,0,0,left,177,Midfielder - Attacking Midfield,68000
35,15,9,18,0,1,3,0,0,left,177,Midfielder - Attacking Midfield,68000
32,12,8,32,11,2,1,0,0,left,177,Midfielder - Attacking Midfield,315000
31,11,7,28,1,5,5,0,0,left,177,Midfielder - Attacking Midfield,1620000
30,10,6,36,1,4,1,0,0,left,177,Midfielder - Attacking Midfield,1620000
25,5,5,39,6,5,2,0,0,left,177,Midfielder - Attacking Midfield,1620000
24,4,4,31,5,3,2,0,0,left,177,Midfielder - Attacking Midfield,1620000
23,3,3,1,0,0,0,0,0,left,177,Midfielder - Attacking Midfield,1620000
28,20,9,13,1,1,2,0,0,right,180,Forward - Centre-Forward,180000
27,19,8,22,3,2,0,0,0,right,180,Forward - Centre-Forward,180000
26,18,7,24,2,0,2,0,0,right,180,Forward - Centre-Forward,180000
23,15,6,33,2,0,6,0,0,right,180,Forward - Centre-Forward,203000
21,12,4,25,3,0,4,0,0,right,180,Forward - Centre-Forward,270000
20,12,3,25,3,0,4,0,0,right,180,Forward - Centre-Forward,203000
18,10,1,11,3,0,1,0,0,right,180,Forward - Centre-Forward,203000
27,20,7,14,2,3,6,0,0,right,184,Midfielder - Right Midfield,360000
25,18,6,23,1,2,7,0,0,right,184,Midfielder - Right Midfield,450000
24,17,5,30,2,5,8,0,1,right,184,Midfielder - Right Midfield,450000
24,16,4,46,6,6,9,0,1,right,184,Midfielder - Right Midfield,293000
23,16,3,46,6,6,9,0,1,right,184,Midfielder - Right Midfield,90000
21,14,2,7,0,0,1,0,0,right,184,Midfielder - Right Midfield,113000
20,13,1,15,3,1,1,0,0,right,184,Midfielder - Right Midfield,90000
18,17,1,2,0,0,1,0,0,right,184,Defender,90000
26,20,7,11,0,0,2,1,0,right,187,Defender - Centre-Back,270000
25,19,6,17,0,1,4,0,0,right,187,Defender - Centre-Back,360000
23,17,5,22,2,0,9,0,0,right,187,Defender - Centre-Back,360000
22,16,4,31,2,0,11,0,2,right,187,Defender - Centre-Back,360000
21,15,3,14,2,0,1,0,1,right,187,Defender - Centre-Back,405000
20,14,2,19,1,0,8,0,0,right,187,Defender - Centre-Back,293000
27,20,7,5,0,0,0,0,0,right,169,Midfielder - Right Midfield,90000
26,19,6,21,9,2,3,0,0,right,169,Midfielder - Right Midfield,90000
24,17,4,17,1,0,0,0,0,right,169,Midfielder - Right Midfield,360000
24,16,3,1,0,0,1,0,0,right,169,Midfielder - Right Midfield,450000
23,16,2,1,0,0,1,0,0,right,169,Midfielder - Right Midfield,570000
22,15,1,4,0,0,0,0,0,right,169,Midfielder - Right Midfield,450000
19,17,1,3,0,0,0,0,0,right,184,Midfielder - Defensive Midfield,450000
24,20,5,22,4,6,6,0,0,right,184,Midfielder - Right Midfield,450000
23,19,4,2,0,1,0,0,0,right,184,Midfielder - Right Midfield,450000
22,18,3,3,0,0,2,0,0,right,184,Midfielder - Right Midfield,450000
32,19,9,12,0,2,4,1,0,left,179,Defender - Left-Back,180000
30,17,8,28,0,0,10,0,1,left,179,Defender - Left-Back,225000
29,16,7,18,1,0,5,1,1,left,179,Defender - Left-Back,405000
26,13,6,10,0,0,4,0,1,left,179,Defender - Left-Back,180000
24,11,4,26,1,0,8,3,0,left,179,Defender - Left-Back,180000
23,10,3,15,1,0,2,1,0,left,179,Defender - Left-Back,293000
21,20,1,3,0,0,0,0,1,left,180,Midfielder - Left Midfield,293000
22,20,3,9,2,2,3,0,0,right,175,Forward - Left Winger,585000
20,18,2,39,2,3,6,1,0,right,175,Forward - Left Winger,315000
18,16,1,18,0,0,1,0,0,right,175,Forward - Left Winger,585000
26,20,4,6,0,0,1,0,1,right,179,Midfielder - Central Midfield,270000
25,19,3,3,0,0,1,0,0,right,179,Midfielder - Central Midfield,270000
23,17,2,22,1,0,6,0,0,right,179,Midfielder - Central Midfield,315000
25,19,5,12,0,0,2,0,0,right,186,Midfielder - Defensive Midfield,180000
24,18,4,4,0,0,0,0,0,right,186,Midfielder - Defensive Midfield,270000
23,17,3,21,1,0,4,1,1,right,186,Midfielder - Defensive Midfield,270000
22,16,2,34,1,2,10,0,0,right,186,Midfielder - Defensive Midfield,382500
30,17,10,34,13,2,6,0,0,right,171,Forward - Centre-Forward,900000
28,15,9,36,12,1,9,0,1,right,171,Forward - Centre-Forward,720000
27,14,8,16,0,1,1,0,0,right,171,Forward - Centre-Forward,900000
26,13,7,15,2,0,0,0,0,right,171,Forward - Centre-Forward,1350000
25,12,6,35,7,1,2,1,0,right,171,Forward - Centre-Forward,1350000
23,10,5,31,16,0,4,0,0,right,171,Forward - Centre-Forward,900000
21,8,4,33,6,0,3,0,0,right,171,Forward - Centre-Forward,180000
21,7,3,5,1,0,0,0,0,right,171,Forward - Centre-Forward,180000
20,7,2,5,1,0,0,0,0,right,171,Forward - Centre-Forward,180000
19,19,1,1,0,0,1,0,0,right,176,Forward - Centre-Forward,180000
26,20,11,13,2,3,1,0,0,left,169,Midfielder - Attacking Midfield,180000
25,19,10,21,2,4,5,0,0,left,169,Midfielder - Attacking Midfield,113000
24,18,9,19,2,2,0,0,0,left,169,Midfielder - Attacking Midfield,135000
23,17,8,5,0,0,2,0,0,left,169,Midfielder - Attacking Midfield,135000
23,16,7,22,0,3,4,0,1,left,169,Midfielder - Attacking Midfield,135000
22,16,6,22,0,3,4,0,1,left,169,Midfielder - Attacking Midfield,90000
22,15,5,10,2,1,2,0,0,left,169,Midfielder - Attacking Midfield,90000
21,15,4,10,2,1,2,0,0,left,169,Midfielder - Attacking Midfield,67500
18,12,1,20,1,0,2,0,0,left,169,Midfielder - Attacking Midfield,45000
26,20,4,10,2,1,0,0,0,right,178,Midfielder - Defensive Midfield,180000
24,17,3,16,2,0,2,0,0,right,178,Midfielder - Defensive Midfield,180000
23,17,2,16,2,0,2,0,0,right,178,Midfielder - Defensive Midfield,68000
24,20,10,8,0,0,0,0,0,left,185,Forward - Centre-Forward,2880000
24,20,10,8,0,0,0,0,0,right,185,Midfielder,2880000
24,16,9,14,4,2,2,0,0,left,185,Forward - Centre-Forward,45000
24,16,9,14,4,2,2,0,0,right,185,Midfielder,45000
23,19,8,80,28,8,18,0,0,left,185,Forward - Centre-Forward,1800000
23,19,8,80,28,8,18,0,0,right,185,Midfielder,1800000
23,15,7,78,34,0,14,2,0,left,185,Forward - Centre-Forward,900000
23,15,7,78,34,0,14,2,0,right,185,Midfielder,900000
22,18,6,58,20,6,16,0,0,left,185,Forward - Centre-Forward,900000
22,18,6,58,20,6,16,0,0,right,185,Midfielder,900000
17,13,5,66,16,0,20,0,0,left,185,Forward - Centre-Forward,900000
17,13,5,66,16,0,20,0,0,right,185,Midfielder,900000
25,17,1,52,18,2,18,2,0,left,185,Forward - Centre-Forward,45000
25,17,1,52,18,2,18,2,0,right,185,Midfielder,45000
26,20,5,4,0,0,0,0,0,right,174,Forward,158000
22,16,3,7,1,0,1,0,0,right,174,Forward,158000
19,13,1,1,0,0,0,0,0,right,174,Forward,68000
21,20,1,0,0,0,0,0,0,right,168,Midfielder,68000
22,20,2,7,0,0,1,0,0,right,184,Defender - Centre-Back,68000
21,20,1,7,0,0,1,0,0,right,184,Defender - Centre-Back,68000
22,20,2,4,1,1,0,0,0,right,180,Forward - Centre-Forward,90000
18,16,1,2,0,0,1,0,0,right,180,Forward - Centre-Forward,90000
30,18,15,20,1,3,1,0,0,right,169,Midfielder - Right Midfield,720000
30,17,14,8,1,0,0,0,0,right,169,Midfielder - Right Midfield,720000
29,17,13,8,1,0,0,0,0,right,169,Midfielder - Right Midfield,900000
28,16,12,8,2,0,1,0,0,right,169,Midfielder - Right Midfield,1580000
28,15,11,35,5,5,1,0,0,right,169,Midfielder - Right Midfield,1580000
27,15,10,35,5,5,1,0,0,right,169,Midfielder - Right Midfield,1130000
27,14,9,20,2,3,1,0,0,right,169,Midfielder - Right Midfield,1080000
26,14,8,20,2,3,1,0,0,right,169,Midfielder - Right Midfield,675000
26,13,7,46,12,2,2,0,0,right,169,Midfielder - Right Midfield,675000
25,13,6,46,12,2,2,0,0,right,169,Midfielder - Right Midfield,675000
23,11,5,30,4,1,2,0,0,right,169,Midfielder - Right Midfield,900000
23,10,4,23,4,1,3,0,0,right,169,Midfielder - Right Midfield,675000
22,10,3,23,4,1,3,0,0,right,169,Midfielder - Right Midfield,360000
20,8,2,11,2,6,2,0,0,right,169,Midfielder - Right Midfield,360000
37,20,9,12,1,0,4,0,0,left,193,Defender - Centre-Back,360000
35,18,8,21,0,0,4,0,0,left,193,Defender - Centre-Back,45000
34,17,7,17,0,0,5,0,0,left,193,Defender - Centre-Back,68000
28,11,6,22,0,1,3,0,0,left,193,Defender - Centre-Back,360000
27,10,5,19,1,0,3,0,1,left,193,Defender - Centre-Back,45000
26,9,4,6,0,0,2,0,0,left,193,Defender - Centre-Back,45000
24,7,3,1,0,0,0,1,0,left,193,Defender - Centre-Back,45000
22,10,3,17,1,1,1,0,0,right,184,Midfielder - Central Midfield,270000
23,19,1,15,0,0,6,0,0,right,183,Defender - Centre-Back,270000
26,19,6,0,0,0,0,0,0,right,180,Forward - Centre-Forward,68000
26,18,5,18,3,0,7,0,0,right,180,Forward - Centre-Forward,68000
25,18,4,18,3,0,7,0,0,right,180,Forward - Centre-Forward,68000
25,17,3,14,3,0,5,0,0,right,180,Forward - Centre-Forward,68000
24,17,2,14,3,0,5,0,0,right,180,Forward - Centre-Forward,68000
30,13,3,17,1,0,3,1,0,right,173,Defender - Right-Back,540000
29,12,2,24,0,0,3,0,0,right,173,Defender - Right-Back,653000
25,8,1,2,0,0,0,0,0,right,173,Defender - Right-Back,540000
23,20,2,1,0,0,0,0,0,right,178,Midfielder - Attacking Midfield,45000
22,19,1,0,0,0,0,0,0,right,178,Midfielder - Attacking Midfield,540000
16,19,1,9,0,1,2,0,0,right,172,Midfielder - Attacking Midfield,540000
26,19,6,16,5,0,3,0,0,right,189,Defender - Centre-Back,90000
25,18,5,3,0,0,1,0,0,right,189,Defender - Centre-Back,90000
23,15,2,10,0,0,0,0,0,right,189,Defender - Centre-Back,90000
22,15,1,10,0,0,0,0,0,right,189,Defender - Centre-Back,90000
15,16,1,1,0,0,0,0,0,right,182,Midfielder - Defensive Midfield,90000
36,20,15,13,6,0,1,0,0,left,179,Forward - Centre-Forward,68000
35,19,14,30,6,4,5,0,0,left,179,Forward - Centre-Forward,68000
32,16,13,35,11,7,5,0,0,left,179,Forward - Centre-Forward,225000
31,15,12,41,12,9,12,0,0,left,179,Forward - Centre-Forward,225000
29,13,10,24,7,6,2,0,0,left,179,Forward - Centre-Forward,315000
28,12,9,19,5,0,1,0,0,left,179,Forward - Centre-Forward,371500
27,11,8,14,4,3,1,0,1,left,179,Forward - Centre-Forward,480000
26,10,7,14,13,0,1,0,0,left,179,Forward - Centre-Forward,540000
25,9,6,10,0,0,0,0,0,left,179,Forward - Centre-Forward,540000
22,6,3,1,0,0,0,0,0,left,179,Forward - Centre-Forward,540000
26,6,4,12,2,1,5,0,0,right,184,Forward - Centre-Forward,90000
21,17,2,54,24,9,3,0,0,right,165,Forward - Centre-Forward,45000
18,14,1,6,0,0,0,0,0,right,165,Forward - Centre-Forward,5400000
21,20,1,3,0,0,0,0,0,left,184,Forward - Centre-Forward,5400000
31,14,7,23,0,3,3,0,1,right,178,Midfielder - Defensive Midfield,225000
29,12,5,28,0,0,9,0,0,right,178,Midfielder - Defensive Midfield,270000
29,11,4,39,2,0,14,1,1,right,178,Midfielder - Defensive Midfield,270000
28,11,3,39,2,0,14,1,1,right,178,Midfielder - Defensive Midfield,270000
23,20,2,3,0,0,0,0,0,right,168,Midfielder - Central Midfield,90000
21,18,1,2,0,0,0,0,0,right,168,Midfielder - Central Midfield,270000
22,20,5,6,1,1,1,0,0,left,176,Forward - Centre-Forward,180000
21,20,4,6,1,1,1,0,0,left,176,Forward - Centre-Forward,180000
20,19,3,6,1,0,1,0,0,left,176,Forward - Centre-Forward,45000
19,18,2,11,2,0,1,0,1,left,176,Forward - Centre-Forward,45000
18,17,1,12,1,0,1,0,0,left,176,Forward - Centre-Forward,45000
20,18,1,19,2,4,5,0,1,left,172,Midfielder - Attacking Midfield,45000
20,17,1,0,0,0,0,0,0,right,182,Midfielder - Right Midfield,45000
18,20,1,9,0,1,1,0,0,left,175,Midfielder,45000
19,20,1,0,0,0,0,0,0,right,178,Defender,45000
24,19,3,25,1,4,11,0,0,left,174,Defender - Left-Back,180000
23,18,2,18,0,3,4,1,1,left,174,Defender - Left-Back,247500
20,15,1,13,0,0,6,1,0,left,174,Defender - Left-Back,180000
18,17,1,5,0,0,0,0,0,right,176,Forward - Centre-Forward,180000
19,20,2,3,0,0,0,0,0,right,176,Midfielder,180000
18,20,1,3,0,0,0,0,0,right,176,Midfielder,180000
31,19,11,0,0,0,0,0,0,right,173,Forward - Centre-Forward,360000
31,18,10,8,1,1,2,0,0,right,173,Forward - Centre-Forward,630000
29,17,9,17,9,3,4,0,0,right,173,Forward - Centre-Forward,630000
27,15,7,40,26,8,8,0,0,right,173,Forward - Centre-Forward,742500
24,12,4,36,24,5,6,0,0,right,173,Forward - Centre-Forward,1654000
24,11,3,23,6,1,5,1,1,right,173,Forward - Centre-Forward,608000
